"","Date","Sample.ID","Chamber.ID","SDR","Group","Temperature","Type","Salinity","Plate","Run","Volume","Org.Number","unique","Light","Photo.Intercept","P.umol.L.min","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","PAR"
"205",20230625,7,"B1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - B1",4,130.685790823212,1.1011983805668,8.8095870445344e-05,-2.43897498637263e-05,0.00011248562030907,2.24971240618141e-05,0.0224971240618141,500
"206",20230625,7,"B1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - B1",5,394.982755505362,-2.9599096555618,-0.000236792772444944,-2.43897498637263e-05,-0.000212403022581218,-4.24806045162435e-05,-0.0424806045162435,0.2
"207",20230625,13,"C1",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - C1",1,180.361291291291,-0.744890604890607,-5.95912483912486e-05,-2.43897498637263e-05,-3.52014985275222e-05,-7.04029970550445e-06,-0.00704029970550445,0.1
"208",20230625,13,"C1",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - C1",2,158.719795518207,0.446308123249301,3.57046498599441e-05,-2.43897498637263e-05,6.00943997236704e-05,1.20188799447341e-05,0.0120188799447341,50
"209",20230625,13,"C1",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - C1",3,168.797660575556,0.39065105591421,3.12520844731368e-05,-2.43897498637263e-05,5.56418343368631e-05,1.11283668673726e-05,0.0111283668673726,100
"210",20230625,13,"C1",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - C1",4,299.735032258064,-1.41122580645161,-0.000112898064516129,-2.43897498637263e-05,-8.85083146524025e-05,-1.77016629304805e-05,-0.0177016629304805,500
"211",20230625,13,"C1",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - C1",5,365.968205645162,-2.40101612903227,-0.000192081290322582,-2.43897498637263e-05,-0.000167691540458855,-3.35383080917711e-05,-0.0335383080917711,0.2
"212",20230625,19,"D1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - D1",1,184.553172568173,-0.184590964590961,-1.47672771672769e-05,-2.43897498637263e-05,9.62247269644943e-06,1.92449453928989e-06,0.00192449453928989,0.1
"213",20230625,19,"D1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - D1",2,181.07759168035,-0.0480350301039904,-3.84280240831923e-06,-2.43897498637263e-05,2.05469474554071e-05,4.10938949108142e-06,0.00410938949108142,50
"214",20230625,19,"D1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - D1",3,161.667781512605,0.764537815126052,6.11630252100842e-05,-2.43897498637263e-05,8.55527750738105e-05,1.71105550147621e-05,0.0171105550147621,100
"215",20230625,19,"D1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - D1",4,214.340575980393,0.237767379679136,1.90213903743309e-05,-2.43897498637263e-05,4.34111402380572e-05,8.68222804761144e-06,0.00868222804761144,500
"216",20230625,19,"D1",641,"F1-NB",33,"Sample",33,3,2,8e-05,5,"3 - D1",5,475.241422475107,-3.83201225517016,-0.000306560980413613,-2.43897498637263e-05,-0.000282171230549886,-5.64342461099773e-05,-0.0564342461099773,0.2
"217",20230625,2,"A2",641,"F2-NB",33,"Sample",33,3,2,8e-05,5,"3 - A2",1,183.752905982906,-0.458803418803419,-3.67042735042735e-05,-2.43897498637263e-05,-1.23145236405472e-05,-2.46290472810944e-06,-0.00246290472810944,0.1
"218",20230625,2,"A2",641,"F2-NB",33,"Sample",33,3,2,8e-05,5,"3 - A2",2,162.498300492611,0.364499178981944,2.91599343185555e-05,-2.43897498637263e-05,5.35496841822818e-05,1.07099368364564e-05,0.0107099368364564,50
"219",20230625,2,"A2",641,"F2-NB",33,"Sample",33,3,2,8e-05,5,"3 - A2",3,161.746384783798,0.473409961685831,3.78727969348665e-05,-2.43897498637263e-05,6.22625467985928e-05,1.24525093597186e-05,0.0124525093597186,100
"220",20230625,2,"A2",641,"F2-NB",33,"Sample",33,3,2,8e-05,5,"3 - A2",4,187.484273954116,0.207012145748982,1.65609716599186e-05,-2.43897498637263e-05,4.09507215236449e-05,8.19014430472897e-06,0.00819014430472897,500
"221",20230625,2,"A2",641,"F2-NB",33,"Sample",33,3,2,8e-05,5,"3 - A2",5,374.19532900433,-2.54529870129871,-0.000203623896103897,-2.43897498637263e-05,-0.00017923414624017,-3.58468292480341e-05,-0.0358468292480341,0.2
"222",20230625,8,"B2",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - B2",1,182.656168067227,-0.269882352941176,-2.15905882352941e-05,-2.43897498637263e-05,2.79916162843223e-06,5.59832325686446e-07,0.000559832325686446,0.1
"223",20230625,8,"B2",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - B2",2,176.771927069927,0.0550373230373273,4.40298584298618e-06,-2.43897498637263e-05,2.87927357067125e-05,5.7585471413425e-06,0.0057585471413425,50
"224",20230625,8,"B2",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - B2",3,160.499018493761,0.66429144385027,5.31433155080216e-05,-2.43897498637263e-05,7.75330653717479e-05,1.55066130743496e-05,0.0155066130743496,100
"225",20230625,8,"B2",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - B2",4,126.41731092437,1.5647731092437,0.000125181848739496,-2.43897498637263e-05,0.000149571598603222,2.99143197206445e-05,0.0299143197206445,500
"226",20230625,8,"B2",641,"F1-WT",33,"Sample",33,3,2,8e-05,5,"3 - B2",5,414.214350018538,-2.87381535038931,-0.000229905228031145,-2.43897498637263e-05,-0.000205515478167419,-4.11030956334837e-05,-0.0411030956334837,0.2
