ID,File,Class,Height,Area
1762,20240423_Mcap_neg_61,B_0C,1284959,22169224
1762,20240423_Mcap_neg_62,WT_0C,6060293,92610316
1762,20240423_Mcap_neg_63,WT_6C,2884058,46417424
1762,20240423_Mcap_neg_7,WT_3C,5527259,57394951
1762,20240423_Mcap_neg_8,B_3C,2485183,25845196
1762,20240423_Mcap_neg_9,WT_0C,4067792,62692963
1762,20240423_Mcap_neg_PBQC1_10,PBQC,2866569,44025730
1762,20240423_Mcap_neg_PBQC1_20,PBQC,3304024,43975132
1762,20240423_Mcap_neg_PBQC1_5,PBQC,2239116,21606086
1762,20240423_Mcap_neg_PBQC2,PBQC,3077829,47025675
1762,20240423_Mcap_neg_PBQC3,PBQC,2887910,44813009
1762,20240423_Mcap_neg_PBQC4,PBQC,3010460,47256350
1762,20240423_Mcap_neg_PBQC5,PBQC,3030938,47079268
1762,20240423_Mcap_neg_PBQC6,PBQC,3185339,50206579
1762,20240423_Mcap_neg_PBQC7,PBQC,3386113,51315967
2662,20240423_Mcap_neg_1,WT_3C,338987,1751186
2662,20240423_Mcap_neg_10,B_3C,1043446,7444863
2662,20240423_Mcap_neg_11,WT_3C,559513,6292587
2662,20240423_Mcap_neg_12,B_0C,1136562,8605577
2662,20240423_Mcap_neg_13,WT_6C,502586,5605084
2662,20240423_Mcap_neg_14,B_3C,935323,7797049
2662,20240423_Mcap_neg_15,Blank,19630,58303
2662,20240423_Mcap_neg_16,Blank,22543,118811
2662,20240423_Mcap_neg_17,B_6C,1608305,14775470
2662,20240423_Mcap_neg_18,B_6C,552549,4428186
2662,20240423_Mcap_neg_19,Blank,4850,8370
2662,20240423_Mcap_neg_2,Blank,9337,26713
2662,20240423_Mcap_neg_20,Blank,11689,32387
2662,20240423_Mcap_neg_21,WT_6C,332893,2729639
2662,20240423_Mcap_neg_22,NB_3C,1617176,12551709
2662,20240423_Mcap_neg_23,WT_6C,212479,1590646
2662,20240423_Mcap_neg_24,B_0C,1192518,9946790
2662,20240423_Mcap_neg_25,Blank,17959,79573
2662,20240423_Mcap_neg_26,NB_6C,862563,7199252
2662,20240423_Mcap_neg_27,B_3C,446883,4063384
2662,20240423_Mcap_neg_28,NB_3C,1304196,10465800
2662,20240423_Mcap_neg_29,Blank,4062,14898
2662,20240423_Mcap_neg_3,NB_0C,1055410,8851593
2662,20240423_Mcap_neg_30,NB_0C,1376677,11753547
2662,20240423_Mcap_neg_31,NB_3C,1092466,8719412
2662,20240423_Mcap_neg_32,NB_0C,638609,4913343
2662,20240423_Mcap_neg_33,NB_3C,2488457,32448703
2662,20240423_Mcap_neg_34,B_0C,685947,4256262
2662,20240423_Mcap_neg_35,WT_0C,676592,7391744
2662,20240423_Mcap_neg_36,Blank,289699,2622299
2662,20240423_Mcap_neg_37,B_6C,918304,7302407
2662,20240423_Mcap_neg_38,NB_6C,956864,12557828
2662,20240423_Mcap_neg_39,NB_0C,1959535,16449643
2662,20240423_Mcap_neg_4,WT_3C,610868,4332132
2662,20240423_Mcap_neg_40,NB_3C,967554,8996670
2662,20240423_Mcap_neg_41,B_6C,644198,6143427
2662,20240423_Mcap_neg_42,B_3C,1204258,10391296
2662,20240423_Mcap_neg_43,Blank,14886,40521
2662,20240423_Mcap_neg_44,B_0C,1373508,10485709
2662,20240423_Mcap_neg_45,NB_6C,1227412,11717854
2662,20240423_Mcap_neg_46,WT_3C,689813,5991162
2662,20240423_Mcap_neg_47,WT_0C,522887,6866193
2662,20240423_Mcap_neg_48,NB_3C,1333527,17750761
2662,20240423_Mcap_neg_49,WT_6C,515040,4773115
2662,20240423_Mcap_neg_5,B_6C,1036125,12068417
2662,20240423_Mcap_neg_50,NB_6C,1436746,12080120
2662,20240423_Mcap_neg_51,B_6C,847279,7721065
2662,20240423_Mcap_neg_52,WT_6C,405859,4941297
2662,20240423_Mcap_neg_53,NB_6C,1185353,8873106
2662,20240423_Mcap_neg_54,WT_0C,1013014,8054882
2662,20240423_Mcap_neg_55,B_0C,1234594,10700836
2662,20240423_Mcap_neg_56,WT_3C,674764,4854426
2662,20240423_Mcap_neg_57,NB_0C,1910511,18421497
2662,20240423_Mcap_neg_58,NB_6C,170016,1124491
2662,20240423_Mcap_neg_59,WT_0C,1488280,18956153
2662,20240423_Mcap_neg_6,NB_0C,1294946,9963216
2662,20240423_Mcap_neg_60,B_3C,440642,3634668
2662,20240423_Mcap_neg_61,B_0C,522094,4065261
2662,20240423_Mcap_neg_62,WT_0C,1329680,10870495
2662,20240423_Mcap_neg_63,WT_6C,553937,4179801
2662,20240423_Mcap_neg_7,WT_3C,950923,7397415
2662,20240423_Mcap_neg_8,B_3C,732734,5788405
2662,20240423_Mcap_neg_9,WT_0C,935917,7814970
2662,20240423_Mcap_neg_PBQC1_10,PBQC,819932,6327103
2662,20240423_Mcap_neg_PBQC1_20,PBQC,980898,8954678
2662,20240423_Mcap_neg_PBQC1_5,PBQC,707465,5046038
2662,20240423_Mcap_neg_PBQC2,PBQC,854184,11082627
2662,20240423_Mcap_neg_PBQC3,PBQC,809786,6519707
2662,20240423_Mcap_neg_PBQC4,PBQC,879324,7125308
2662,20240423_Mcap_neg_PBQC5,PBQC,880812,11574429
2662,20240423_Mcap_neg_PBQC6,PBQC,920576,12235136
2662,20240423_Mcap_neg_PBQC7,PBQC,943760,7515137
2693,20240423_Mcap_neg_1,WT_3C,1275157,14210418
2693,20240423_Mcap_neg_10,B_3C,2560063,20049468
2693,20240423_Mcap_neg_11,WT_3C,1510628,18705315
2693,20240423_Mcap_neg_12,B_0C,2729150,26550656
2693,20240423_Mcap_neg_13,WT_6C,1889602,13648848
2693,20240423_Mcap_neg_14,B_3C,2972635,26018742
2693,20240423_Mcap_neg_15,Blank,24163,167604
2693,20240423_Mcap_neg_16,Blank,22514,174261
2693,20240423_Mcap_neg_17,B_6C,3381449,52056291
2693,20240423_Mcap_neg_18,B_6C,1480371,15270230
2693,20240423_Mcap_neg_19,Blank,14578,68719
2693,20240423_Mcap_neg_2,Blank,21149,109207
2693,20240423_Mcap_neg_20,Blank,16142,91024
2693,20240423_Mcap_neg_21,WT_6C,916080,6683490
2693,20240423_Mcap_neg_22,NB_3C,4293615,42699699
2693,20240423_Mcap_neg_23,WT_6C,796882,6903266
2693,20240423_Mcap_neg_24,B_0C,3348010,31666850
2693,20240423_Mcap_neg_25,Blank,40879,67964
2693,20240423_Mcap_neg_26,NB_6C,1699665,25468586
2693,20240423_Mcap_neg_27,B_3C,1396439,13275096
2693,20240423_Mcap_neg_28,NB_3C,3033622,25591588
2693,20240423_Mcap_neg_29,Blank,37438,252845
2693,20240423_Mcap_neg_3,NB_0C,1597187,15496119
2693,20240423_Mcap_neg_30,NB_0C,3232070,30861001
2693,20240423_Mcap_neg_31,NB_3C,2620236,25166485
2693,20240423_Mcap_neg_32,NB_0C,988472,14821732
2693,20240423_Mcap_neg_33,NB_3C,5814618,53905337
2693,20240423_Mcap_neg_34,B_0C,1771204,12133429
