Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
24.06.23 12:32:57,20.05,193.63,194.38,191.91,202.46,177.97,183.91,183.98,219.27,199.29,202.59,210.96,203,213.79,196.41,195.69,165.16,195.77,206.71,190.67,201.19,237.27,195.99,174.59,206.02,,33,965,33,31.89,
24.06.23 12:33:12,20.3,192.29,198.65,204.29,199.28,185.86,206.88,183.46,226.08,200.12,215.38,217.68,211.23,206.92,198.31,204.74,161.76,200.15,213.18,195.57,197.6,224.9,195.99,189.86,218.68,,33,965,33,31.92,
24.06.23 12:33:27,20.55,204.22,194.12,196.09,210.76,189.58,201.99,177.96,217.58,197.08,210.99,214.59,203.27,213.79,206.8,195.97,161.24,198.78,202.63,204.11,215.22,224.35,199.7,173.56,218.11,,33,965,33,31.96,
24.06.23 12:33:42,20.8,193.1,193.05,186.73,197.17,172.78,195.01,179.79,222.1,207.36,224.54,220.5,200.55,209.11,210.68,193.25,164.9,202.35,207.59,203.84,208.45,216.08,203.14,166.86,224.11,,33,965,33,31.96,
24.06.23 12:33:57,21.05,200.4,181.77,192.43,199.01,180.85,180.77,175.36,217.58,211.87,217.03,211.52,203.54,213.24,193.43,206.95,172.81,207.62,204.09,190.67,207.04,220.75,192.03,170.97,236.01,,33,965,33,31.99,
24.06.23 12:34:12,21.3,196.87,199.18,195.83,203.25,177.71,193.41,180.31,218.99,206.8,229.32,205.15,210.4,207.74,201.58,204.18,174.14,198.5,215.25,198.59,203.14,215.26,184.73,164.56,212.74,,33,965,33,32,
24.06.23 12:34:27,21.55,195.25,190.67,188.28,203.79,194.66,189.43,180.57,224.37,206.52,208.81,217.12,206,210.48,197.22,198.97,172.55,213.5,207.59,200.52,201.19,213.63,191.46,174.85,226.12,,33,965,33,32.03,
24.06.23 12:34:42,21.8,210.29,194.91,203.49,206.19,193.59,201.45,188.48,215.06,209.05,216.2,212.08,204.91,207.19,203.5,209.73,170.69,217.45,219.72,193.39,214.09,221.85,194.57,172.52,218.4,,33,965,33,32.06,
24.06.23 12:34:57,22.05,208.63,204.3,192.43,193.76,177.97,195.81,177.7,224.94,204.29,210.72,221.64,208.75,210.76,200.76,213.08,171.22,204.01,205.54,201.9,219.5,214.44,204.58,157.47,220.96,,33,965,33,32.08,
24.06.23 12:35:12,22.3,209.18,193.85,198.2,210.76,190.38,192.34,179.26,219.27,203.45,217.58,210.96,198.93,206.92,199.94,203.08,169.11,211.53,209.94,200.52,215.51,208.48,208.05,175.89,218.97,,33,965,33,32.1,
24.06.23 12:35:27,22.55,207.8,194.38,197.67,203.25,188.25,181.03,184.51,210.33,204.29,209.08,204.6,210.4,202.03,200.22,207.51,163.33,210.13,212.59,197.22,217.22,220.75,188.93,170.71,218.11,,33,965,33,32.11,
24.06.23 12:35:42,22.8,204.77,201.33,191.91,216.72,191.18,201.18,182.93,208.39,206.52,217.31,217.4,210.13,208.84,200.49,198.69,179.23,209.57,208.76,193.12,222.95,205.79,196.56,167.63,218.68,,33,965,33,32.13,
24.06.23 12:35:57,23.05,200.94,191.2,192.17,205.92,175.37,204.71,179.79,214.5,210.46,216.75,214.31,199.2,213.79,194.78,194.07,182.46,207.06,203.79,208.29,215.22,225.18,191.75,180.86,228.43,,33,965,33,32.17,
24.06.23 12:36:12,23.3,204.77,193.58,193.21,203.79,185.86,184.95,173.81,209.77,202.34,220.91,215.43,210.13,201.75,194.51,202.81,159.42,205.95,212.59,200.79,219.5,210.37,191.46,171.23,211.33,,33,965,33,32.2,
24.06.23 12:36:27,23.55,210.56,202.68,196.62,209.14,187.45,200.64,176.92,220.68,211.87,210.99,218.24,217.07,208.84,205.15,196.24,163.33,197.68,208.76,196.39,203.42,214.44,204.87,170.2,215.84,,33,965,33,32.21,
24.06.23 12:36:42,23.8,199.85,201.6,195.57,207.8,174.07,201.18,178.22,215.9,206.52,213.18,225.62,212.34,200.94,192.35,195.97,169.9,205.95,212,194.21,213.24,221.85,196.85,167.12,206.58,,33,965,33,32.24,
24.06.23 12:39:14,26.33,175.12,216.61,181.09,205.92,175.11,207.16,176.66,288.4,221.27,216.2,218.52,228.36,216.01,217.96,173.05,122.01,193.32,198.87,152.93,164.69,218,195.99,164.31,250.25,,33,965,33,32.49,
24.06.23 12:39:29,26.58,226.02,217.17,251.87,222.48,220.53,203.62,202.45,233.25,224.44,214,290.87,205.46,199.86,210.41,191.09,140.03,219.15,198.87,163.68,205.37,243.56,214.18,190.4,186.07,,33,965,33,32.55,
24.06.23 12:39:44,26.83,200.94,207.29,197.14,223.04,194.12,172.26,211.51,224.08,213,206.91,235.12,187.95,207.19,209.3,177.24,180.84,214.62,223.62,198.86,196.78,194.11,168.22,169.43,210.49,,33,965,33,32.58,
24.06.23 12:39:59,27.08,218.66,185.68,198.99,224.42,188.78,238.89,149.54,223.52,202.06,245.07,227.91,205.18,171.74,203.77,219.57,194.2,212.37,202.63,211.66,228.15,213.63,209.51,188.26,211.9,,33,965,33,32.63,
24.06.23 12:40:14,27.33,210.56,182.29,212.61,176.78,187.45,190.22,164.84,199.88,230.25,221.75,206.8,214.84,183.92,175.13,179.09,124.45,208.73,189.13,187.16,174.65,188.36,207.76,134.79,167.06,,33,965,33,32.67,
24.06.23 12:40:29,27.58,207.52,203.76,209.91,222.48,219.41,188.64,207.37,228.36,200.12,259.78,233.67,179,216.28,214.87,199.79,206.75,199.6,224.82,222.73,187.5,219.1,204.58,210.52,203.8,,33,965,33,32.71,
24.06.23 12:40:44,27.83,195.79,189.88,148.7,225.8,152.73,196.34,161.79,190.17,187.79,207.72,193.43,143.64,205.83,149.63,194.34,127.63,232.95,209.06,208.01,178.37,206.06,145.86,159.74,216.41,,33,965,33,32.75,
24.06.23 12:40:59,28.08,189.88,219.67,178.04,181.61,186.65,201.45,144.38,235.57,209.61,197.5,249.53,189.01,229.5,184.07,188.94,153.74,217.73,229.35,189.86,179.97,218,164.98,157.72,193.1,,33,965,33,32.78,
24.06.23 12:41:14,28.33,195.52,230.62,210.45,203.25,216.04,255.61,175.1,228.36,205.68,237.57,235.12,178.22,201.75,210.13,223.84,174.94,245.91,238.22,193.12,231.65,209.83,218.59,185.34,168.88,,33,965,33,32.84,
24.06.23 12:41:29,28.58,196.06,186.21,198.99,165.26,164.57,204.43,200.28,261.08,168.6,178.9,167.36,211.51,202.3,191.55,187.87,142.8,216.03,221.81,189.59,207.32,176.04,208.05,166.86,189.84,,33,965,33,32.86,
24.06.23 12:41:44,28.83,196.6,174.04,205.09,206.99,146.78,186.79,216.79,215.62,197.9,227.62,176.17,206.55,178.96,173.57,214.77,133.8,209.29,232.4,228.2,241.37,267.06,170.4,167.37,181.79,,33,965,33,32.92,
