"","Metabolite","term","df","sumsq","statistic","p.value","adj_pvalues"
"162","Stearic acid-TMS","temperature:parent",4,5.10794546251265e-05,2.09536601232418,0.0979789267027852,0.705797998034947
"163","Stigmasterol-TMS (Putative)","temperature",2,3.11165058564506e-08,0.169960146821968,0.844262437050559,0.973097708103639
"164","Stigmasterol-TMS (Putative)","parent",2,3.96408328570574e-08,0.216520511769926,0.806188641094937,0.973097708103639
"165","Stigmasterol-TMS (Putative)","temperature:parent",4,4.1524750096639e-07,1.13405288108646,0.353249015333919,0.782194248239391
"166","Succinic acid-2TMS","temperature",2,6.58526964208392e-09,0.571732942226835,0.56877904049784,0.870222233997532
"167","Succinic acid-2TMS","parent",2,1.34779100790669e-09,0.117015180902071,0.889853977322645,0.973097708103639
"168","Succinic acid-2TMS","temperature:parent",4,5.42178995236811e-08,2.35359832632637,0.0688928568434053,0.690240779089083
"169","Sucrose-8TMS","temperature",2,4.73470449293727e-09,0.164150241599597,0.849143760284278,0.973097708103639
"170","Sucrose-8TMS","parent",2,2.24000677661736e-09,0.0776601061618455,0.925408344799726,0.973097708103639
"171","Sucrose-8TMS","temperature:parent",4,1.38373346347065e-07,2.39867327176361,0.0647855240523476,0.690240779089083
"172","Thiamine","temperature",2,3.2829013101991e-06,0.156555058258407,0.855569609311215,0.973097708103639
"173","Thiamine","parent",2,3.93506350704618e-06,0.187655381135653,0.829575485272655,0.973097708103639
"174","Thiamine","temperature:parent",4,5.08639520047017e-05,1.21280054088284,0.319345210176115,0.772760079412398
"175","Threonine-3TMS","temperature",2,1.00013091608624e-08,0.526995931304924,0.594139668134212,0.870222233997532
"176","Threonine-3TMS","parent",2,2.99722938061068e-08,1.5793209302543,0.21783708800839,0.715427604316162
"177","Threonine-3TMS","temperature:parent",4,5.70618679294237e-08,1.50337179602157,0.218087368561997,0.715427604316162
"178","Trehalose-8TMS","temperature",2,1.18281267592442e-08,0.219581053976619,0.803749735923719,0.973097708103639
"179","Trehalose-8TMS","parent",2,5.96861915099943e-08,1.10803317434623,0.339450990304611,0.772760079412398
"180","Trehalose-8TMS","temperature:parent",4,7.36626099258471e-08,0.683747894126375,0.607085052815468,0.870222233997532
"181","Urea-2TMS","temperature",2,9.02392258794592e-06,1.77611835481606,0.181488836407879,0.708242763422745
"182","Urea-2TMS","parent",2,2.7244087278997e-06,0.536227156259902,0.588811408410014,0.870222233997532
"183","Urea-2TMS","temperature:parent",4,1.16939283852372e-05,1.15081887297374,0.345779319425344,0.774878956784506
"184","Valine-2TMS","temperature",2,2.87931957131433e-07,0.666521001654093,0.518716245527163,0.870222233997532
"185","Valine-2TMS","parent",2,7.23641951724196e-07,1.67512687131831,0.199274303853969,0.715427604316162
"186","Valine-2TMS","temperature:parent",4,1.46846676213605e-06,1.69964450446166,0.16763927609778,0.708242763422745
