Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.06.23 12:55:18,17.3,166.89,169.76,164.34,169.06,154.4,181.49,169.39,172.68,172.16,160.21,172.53,165.62,147.77,141.05,161.8,171.9,170.02,150.22,194.69,168.55,146.94,193,161.11,158.37,,36,965,33,33.14,
26.06.23 12:55:33,17.55,166.89,168.82,164.11,169.76,154.63,181.01,169.16,172.22,171.19,161.38,174.85,163.12,147.32,141.49,161.57,171.67,170.73,151.37,195.18,168.3,147.4,192.75,158.36,157.92,,36,965,33,33.15,
26.06.23 12:55:48,17.8,167.61,169.06,164.57,167.88,155.09,181.73,169.39,172.45,171.67,161.85,173.69,164.94,147.09,141.05,160.65,173.53,169.55,149.99,194.93,169.28,147.62,193.25,157.91,156.35,,36,965,33,33.18,
26.06.23 12:56:03,18.05,167.13,168.35,163.65,168.35,155.09,181.49,168.92,173.37,172.4,161.61,174.15,164.48,145.95,141.05,160.19,170.97,170.73,150.68,193.94,170.27,147.85,193,156.77,154.78,,36,965,33,33.21,
26.06.23 12:56:18,18.3,167.37,168.82,163.65,168.35,155.09,181.49,168.92,172.45,171.91,160.91,172.99,164.03,144.6,141.49,160.19,171.9,169.55,150.45,194.69,171.01,150.11,192,160.19,156.35,,36,965,33,33.22,
26.06.23 12:56:33,18.55,167.37,168.59,164.57,168.35,155.56,181.97,168.69,172.45,171.19,161.14,173.69,163.35,145.27,138.59,160.65,172.14,170.26,150.45,194.93,170.76,148.75,193.25,156.77,156.13,,36,965,33,33.25,
26.06.23 12:56:48,18.8,167.61,168.59,163.42,168.35,155.09,181.97,168.69,174.99,171.43,160.91,172.53,163.35,145.5,137.26,161.11,172.14,169.78,150.22,195.68,171.01,147.17,193.75,155.18,156.35,,36,965,33,33.28,
26.06.23 12:57:03,19.05,168.33,168.35,163.65,168.35,155.09,181.01,168.46,173.14,169.99,159.98,174.15,163.35,145.5,136.81,159.51,172.14,170.02,151.14,195.68,171.26,146.94,193.75,154.28,156.13,,36,965,33,33.29,
26.06.23 12:57:18,19.3,168.33,168.82,163.65,168.35,155.56,181.73,169.62,173.14,169.99,160.21,173.92,166.08,145.5,137.04,160.88,172.6,170.26,149.99,195.93,170.52,146.49,193.25,157,154.11,,36,965,33,33.3,
26.06.23 12:57:33,19.55,167.85,168.82,162.49,173.55,156.02,181.49,168.46,171.3,170.23,160.91,172.53,163.8,145.5,136.37,160.19,172.14,169.78,149.76,195.18,171.5,144.7,194,158.59,153.67,,36,965,33,33.33,
26.06.23 12:57:48,19.8,168.57,168.12,162.49,168.35,155.56,181.25,168.69,172.68,170.47,161.38,173.69,164.26,145.27,136.15,160.88,172.83,169.78,149.99,195.43,171.01,146.49,193.5,156.54,153.22,,36,965,33,33.36,
26.06.23 12:58:03,20.05,168.33,168.35,162.26,167.18,156.02,181.49,169.16,173.37,171.19,161.14,172.76,163.8,145.73,137.26,160.88,173.53,170.49,149.53,195.93,170.76,149.66,193.75,156.32,153.22,,36,965,33,33.36,
26.06.23 12:58:18,20.3,168.57,168.59,162.26,167.41,155.33,181.73,170.09,173.14,170.23,162.08,175.08,163.57,145.73,135.04,161.34,173.53,169.31,148.84,195.93,170.27,145.59,194.5,157.68,152.77,,36,965,33,33.4,
26.06.23 12:58:33,20.55,168.33,170.47,162.03,167.41,154.63,181.49,168.46,171.07,169.75,161.61,173.45,164.48,144.6,134.6,161.11,173.3,170.02,149.53,196.43,170.52,144.7,194.75,155.86,152.33,,36,965,33,33.43,
26.06.23 12:58:48,20.8,168.57,169.29,162.03,167.88,153.24,181.49,170.32,171.53,170.23,161.14,172.99,164.71,144.6,133.72,161.57,172.37,169.78,149.53,196.43,170.27,144.47,194.25,154.28,153,,36,965,33,33.43,
