"","Lipid","term","df","sumsq","statistic","p.value","adj_pvalues"
"171","Cer 32:6;O2|Cer 13:2;O2/19:4","temperature:parent",4,1.48421714134565e-08,0.207351543105622,0.932921058428278,0.983891130517104
"172","Cer 32:6;O2|Cer 15:2;O2/17:4","temperature",2,1.02404919567306e-06,0.0802388801450763,0.923036982862554,0.983313874555463
"173","Cer 32:6;O2|Cer 15:2;O2/17:4","parent",2,0.000140045366562605,10.9731870597335,0.000146588766466439,0.00469269608093197
"174","Cer 32:6;O2|Cer 15:2;O2/17:4","temperature:parent",4,1.83647353487427e-06,0.0719479984345529,0.990226347203374,0.997306408235369
"175","Cer 32:7;O2|Cer 16:3;O2/16:4","temperature",2,7.17748836386778e-05,0.253715091520517,0.777093443255066,0.966542784608256
"176","Cer 32:7;O2|Cer 16:3;O2/16:4","parent",2,0.00347380083909038,12.2794444676595,6.32277548846245e-05,0.00238661182243605
"177","Cer 32:7;O2|Cer 16:3;O2/16:4","temperature:parent",4,9.42289374993807e-05,0.166543659073614,0.954197448014396,0.986721373854244
"178","Cer 33:1;O3|Cer 18:0;O2/15:1;O","temperature",2,3.48093764293324e-07,5.28444039603657,0.00897287774346028,0.102680578340322
"179","Cer 33:1;O3|Cer 18:0;O2/15:1;O","parent",2,1.96174650790074e-08,0.297814369475426,0.743993948981769,0.964575248503066
"180","Cer 33:1;O3|Cer 18:0;O2/15:1;O","temperature:parent",4,1.22747674621585e-07,0.93172133032418,0.454832281628813,0.802701214402839
"181","Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","temperature",2,4.8645896490664e-07,4.24168040662858,0.0209952790847004,0.179381962179754
"182","Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","parent",2,3.85639686278097e-08,0.336258640359959,0.716343915793211,0.956148318133091
"183","Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","temperature:parent",4,2.84079051024883e-07,1.23851406962676,0.309294741622962,0.708834859062118
"184","Cer 33:4;O2|Cer 18:2;O2/15:2","temperature",2,1.60463695978129e-05,1.26022480675344,0.294093024632667,0.692787590461822
"185","Cer 33:4;O2|Cer 18:2;O2/15:2","parent",2,2.17948318144967e-05,1.71168858751649,0.192915565590443,0.574725707984994
"186","Cer 33:4;O2|Cer 18:2;O2/15:2","temperature:parent",4,1.38983761694712e-05,0.545764520616109,0.703043564632127,0.951309349895478
"187","Cer 33:5;O2|Cer 12:0;O2/21:5","temperature",2,2.53905091653299e-05,1.84070577405273,0.17127945871769,0.543634722382726
"188","Cer 33:5;O2|Cer 12:0;O2/21:5","parent",2,0.000116457261317124,8.44266461696269,0.000828105824234867,0.0177481324533049
"189","Cer 33:5;O2|Cer 12:0;O2/21:5","temperature:parent",4,6.56280277049633e-06,0.237887883125185,0.915348588058714,0.98057613989385
"190","Cer 33:5;O2|Cer 12:2;O2/21:3","temperature",2,9.29906760873197e-08,3.04418536197616,0.0582631249538555,0.325270293616558
"191","Cer 33:5;O2|Cer 12:2;O2/21:3","parent",2,5.19909722300204e-07,17.0200027870449,3.85789281856348e-06,0.000243915273453676
"192","Cer 33:5;O2|Cer 12:2;O2/21:3","temperature:parent",4,5.4781472897835e-08,0.896675693305466,0.474513102865024,0.818583654260332
"193","Cer 33:6;O2|Cer 18:2;O2/15:4","temperature",2,2.28377793544828e-08,0.0342266114818574,0.966379417810226,0.991469999043432
"194","Cer 33:6;O2|Cer 18:2;O2/15:4","parent",2,6.22336891718119e-07,0.932686259598254,0.401491947067693,0.763686983056169
"195","Cer 33:6;O2|Cer 18:2;O2/15:4","temperature:parent",4,8.61462464239319e-07,0.64552994868862,0.633119208977604,0.922546021170258
"196","Cer 33:7;O2|Cer 13:2;O2/20:5","temperature",2,3.50924233905873e-08,0.0755728928352043,0.927337932362177,0.98372821637585
"197","Cer 33:7;O2|Cer 13:2;O2/20:5","parent",2,6.23180243055721e-06,13.4204278801956,3.11504001534872e-05,0.00131298936646948
"198","Cer 33:7;O2|Cer 13:2;O2/20:5","temperature:parent",4,3.57947440715519e-08,0.0385426838106105,0.997056983287907,0.998872456712423
