.
AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2
TG 54:4|TG 16:0_16:0_22:4
TG 54:5|TG 16:0_16:0_22:5
TG 54:5|TG 18:1_18:2_18:2
TG 54:6;O3|TG 18:0_20:5_16:1;O3
TG 54:6|TG 16:0_16:0_22:6
TG 54:6|TG 18:2_18:2_18:2
TG 54:7|TG 16:0_18:3_20:4
TG 54:8|TG 16:0_18:3_20:5
TG 54:9|TG 18:3_18:3_18:3
TG 55:11|TG 18:3_18:3_19:5
TG 55:8|TG 16:0_18:3_21:5
TG 55:8|TG 18:0_15:4_22:4
TG 56:10|TG 16:0_20:5_20:5
TG 56:10|TG 18:3_18:3_20:4
TG 56:11|TG 18:3_18:3_20:5
TG 56:12|TG 18:3_18:4_20:5
TG 56:1;O3|TG 18:0_22:0_16:1;O3
TG 56:3|TG 18:0_20:0_18:3
TG 56:4|TG 16:0_18:0_22:4
TG 56:5|TG 16:0_18:0_22:5
TG 56:6|TG 16:0_18:1_22:5
TG 56:6|TG 16:0_20:3_20:3
TG 56:7|TG 16:0_18:3_22:4
TG 56:8|TG 16:0_20:4_20:4
TG 56:9|TG 16:0_20:4_20:5
TG 56:9|TG 18:3_18:3_20:3
TG 57:3|TG 16:0_23:0_18:3
TG 57:6|TG 19:2_19:2_19:2
TG 58:10|TG 18:3_18:3_22:4
TG 58:11|TG 18:3_18:3_22:5
TG 58:11|TG 18:3_20:4_20:4
TG 58:12|TG 18:3_18:3_22:6
TG 58:12|TG 18:3_18:4_22:5
TG 58:13|TG 18:3_20:5_20:5
TG 58:1;O3|TG 20:0_20:0_18:1;O3
TG 58:4|TG 18:0_18:0_22:4
TG 58:5|TG 18:0_18:0_22:5
TG 58:6|TG 18:0_20:3_20:3
TG 58:8|TG 18:0_20:4_20:4
TG 58:9|TG 16:0_20:4_22:5
TG 58:9|TG 18:1_20:4_20:4
TG 60:10|TG 16:0_22:5_22:5
TG 60:10|TG 18:1_20:4_22:5
TG 60:12|TG 20:4_20:4_20:4
TG 60:13|TG 20:4_20:4_20:5
TG 60:4|TG 18:0_20:0_22:4
TG 60:5;O|TG 20:2_20:2_20:1;O
TG 60:6|TG 20:0_20:3_20:3
TG 61:2;O2|TG 16:0_16:0_12:0;O(FA 17:1)
TG 61:4;O2|TG 16:0_18:3_9:0;O(FA 18:0)
TG 61:4|TG 17:0_24:0_20:4
TG 61:8;O|TG 21:2_21:2_19:4;O
TG 62:10;O2|TG 18:3_18:3_8:0;O(FA 18:3)
TG 62:4|TG 16:0_26:0_20:4
TG 62:8|TG 18:0_22:4_22:4
TG 63:2;O2|TG 16:0_16:0_15:1;O(FA 16:0)
TG 63:4|TG 18:0_23:0_22:4
TG 63:6;O2|TG 16:0_20:4_9:0;O(FA 18:1)
TG 64:12|TG 20:4_22:4_22:4
TG 64:14|TG 20:4_22:5_22:5
TG 64:1;O2|TG 16:0_16:0_18:0;O(FA 14:0)
TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0)
TG 64:4|TG 18:0_24:0_22:4
TG 64:5|TG 16:0_26:0_22:5
TG 64:6;O2|TG 15:0_20:4_14:1;O(FA 15:0)
TG 65:5;O2|TG 16:0_18:3_15:1;O(FA 16:0)
TG 65:6;O2|TG 9:0_16:0_18:2;O(FA 22:3)
TG 65:7;O2|TG 17:2_17:2_17:1;O(FA 14:1)
TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0)
TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0)
TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0)
TG 66:6;O2|TG 15:1_22:3_15:0;O(FA 14:1)
TG 67:6;O2|TG 16:0_18:3_17:2;O(FA 16:0)
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0)
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1)
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0)
TG 72:11|TG 18:0_22:4_32:7
TG O-42:4|TG O-10:0_16:2_16:2
TG O-47:0|TG O-19:0_14:0_14:0
TG O-47:1|TG O-17:0_14:0_16:1
TG O-47:7|TG O-17:1_15:3_15:3
TG O-48:0|TG O-17:0_15:0_16:0
TG O-48:1|TG O-16:0_16:0_16:1
TG O-49:10|TG O-19:4_15:3_15:3
TG O-49:11|TG O-19:3_15:4_15:4
TG O-49:12|TG O-19:4_15:4_15:4
TG O-49:5|TG O-17:3_16:1_16:1
TG O-49:7|TG O-19:0_15:3_15:4
TG O-50:0|TG O-17:0_16:0_17:0
TG O-50:1|TG O-16:0_16:0_18:1
TG O-50:1|TG O-19:0_15:1_16:0
TG O-50:2|TG O-16:0_16:0_18:2
TG O-50:3|TG O-16:0_16:0_18:3
TG O-50:3|TG O-17:0_15:0_18:3
TG O-51:13|TG O-21:5_15:4_15:4
TG O-51:2|TG O-19:2_16:0_16:0
TG O-51:7|TG O-15:1_18:3_18:3
TG O-51:7|TG O-16:4_16:0_19:3
TG O-51:8|TG O-21:0_15:4_15:4
