gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g30166.t1,4063.6876015299667,0.6124654248182568,0.11373783046061499,5.384887528959335,7.248996190920384e-8,1.2743757404236178e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g30168.t1,8235.53567677833,0.2883879185953168,0.08639926341496981,3.3378515880420085,8.442883198654451e-4,0.005268806844614851,33vs30
Montipora_capitata_HIv3___RNAseq.g30170.t1,1930.0986603391639,-0.20204828679140902,0.07251226500972885,-2.78640153861282,0.005329680664532742,0.024590735052500038,33vs30
Montipora_capitata_HIv3___RNAseq.g30177.t1,68.34839415467029,-1.166635564313621,0.4008602194876252,-2.910330104106616,0.003610472005418805,0.01788303363580966,33vs30
Montipora_capitata_HIv3___TS.g14678.t1,4376.244751640648,-0.3166659291538062,0.11042609702549099,-2.8676729295313805,0.004135027586843262,0.020013030877242842,33vs30
Montipora_capitata_HIv3___RNAseq.g30186.t1,1144.0741000412793,-0.7785175385293543,0.16838058216463334,-4.623558895693581,3.772115745756627e-6,4.533811864297895e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g30203.t1,1590.6508127877548,0.2844414620509238,0.07639168488209054,3.7234610349274933,1.9651020130702297e-4,0.0015018249811618572,33vs30
Montipora_capitata_HIv3___RNAseq.g30211.t1,1126.3339426937773,-0.4140794834225369,0.15476198143539355,-2.675589182705038,0.007459802306339753,0.032371299809751584,33vs30
Montipora_capitata_HIv3___RNAseq.g30212.t1,2499.8620909693595,0.24795328866818214,0.0721330970087123,3.4374413265277397,5.872379307871665e-4,0.003881568125256685,33vs30
Montipora_capitata_HIv3___RNAseq.g30215.t1,663.1189797468536,0.39464640354224195,0.11889947988992808,3.3191600493760633,9.028866436670477e-4,0.00556522726781947,33vs30
Montipora_capitata_HIv3___RNAseq.g30225.t1,1418.7213447717183,-0.5295351324274823,0.15034510837863738,-3.522130770585977,4.280929157789142e-4,0.002958047664002593,33vs30
Montipora_capitata_HIv3___RNAseq.g30227.t1,314.57892618499477,-0.6632656960896152,0.20545876384179537,-3.2282180798105755,0.0012456397231808592,0.007279118372223592,33vs30
Montipora_capitata_HIv3___TS.g14717.t1,4114.27969955691,0.18822978915758656,0.0726989334436156,2.589168509653244,0.009620800222962614,0.039903570786303307,33vs30
